#,Animales,Frutas y Vegetales,Vehículos,Deportes,Clima,Tecnología y Electrodomésticos,Familia y Vínculos
1,León,Manzana,Automóvil,Fútbol,Sol,Computadora,Padre
2,Elefante,Banana,Camión,Baloncesto,Lluvia,Celular,Madre
3,Jirafa,Zanahoria,Bicicleta,Tenis,Nieve,Televisor,Hermano
4,Perro,Brócoli,Motocicleta,Natación,Viento,Lavadora,Hermana
5,Gato,Tomate,Avión,Béisbol,Tormenta,Refrigerador,Abuelo
6,Tigre,Lechuga,Barco,Voleibol,Niebla,Microondas,Abuela
7,Caballo,Uva,Autobús,Atletismo,Trueno,Aspiradora,Hijo
8,Vaca,Espinaca,Tren,Ciclismo,Rayo,Licuadora,Hija
9,Delfín,Piña,Helicóptero,Boxeo,Granizo,Horno,Tío
10,Águila,Cebolla,Submarino,Rugby,Huracán,Plancha,Tía
11,Mono,Sandia,Patinete,Golf,Tornado,Ventilador,Primo
12,Oso,Papa,Caravana,Karate,Arcoíris,Auriculares,Prima
13,Cebra,Pepino,Furgoneta,Surf,Humedad,Tablet,Sobrino
14,Lobo,Fresa,Grúa,Esquí,Calor,Cámara,Sobrina
15,Canguro,Calabacín,Tranvía,Patinaje,Frío,Reloj inteligente,Nieto
16,Pingüino,Mango,Yate,Hockey,Nublado,Tostadora,Nieta
17,Tiburón,Ajo,Cohete,Remo,Despejado,Batidora,Suegro
18,Tortuga,Pimiento,Metro,Vela,Brisa,Cafetera,Suegra
19,Rinoceronte,Limón,Tractor,Esgrima,Rocío,Secador,Yerno
20,Hipopótamo,Naranja,Ambulancia,Judo,Escarcha,Lavavajillas,Nuera
21,Cocodrilo,Berenjena,Patrulla,Gimnasia,Ciclón,Aire acondicionado,Cuñado
22,Zorro,Pera,Taxi,Escalada,Monzón,Altavoz,Cuñada
23,Conejo,Durazno,Canoa,Triatlón,Canícula,Consola,Padrino
24,Camello,Melón,Velero,Waterpolo,Ventisca,Impresora,Madrina
25,Pulpo,Kiwi,Motonieve,Bádminton,Chubasco,Router,Ahijado
26,Búho,Cereza,Monopatín,Críquet,Helada,Teclado,Ahijada
27,Mariposa,Apio,Teleférico,Squash,Tifón,Mouse,Padrastro
28,Abeja,Coliflor,Quad,Yoga,Sequía,Monitor,Madrastra
29,Ballena,Arándano,Velomotor,Buceo,Inundación,Proyector,Hijastro
30,Serpiente,Espárrago,Camioneta,Motociclismo,Presión,Escáner,Hijastra
31,Gorila,Ciruela,Góndola,Tiro con arco,Temperatura,Calefactor,Hermanastro
32,Loro,Remolacha,Globo,Piragüismo,Anticiclón,Tapafrío,Hermanastra
33,Flamenco,Calabaza,Limusina,Senderismo,Borrasca,Procesador,Consuegro
34,Hormiga,Higo,Transatlántico,Pádel,Frente,Disco duro,Consuegra
35,Ardilla,Alcachofa,Triciclo,Billar,Nube,Memoria USB,Bisabuelo
36,Murciélago,Rábano,Carretilla,Ajedrez,Clima,Webcam,Bisabuela
37,Castor,Coco,Trineo,Pesca,Meteorología,Satélite,Tatarabuelo
38,Pavo,Mandarina,Ferry,Softbol,Atmósfera,Dron,Tatarabuela
39,Cisne,Granada,Tanque,Lacrosse,Galeón,Servidor,Tataranieto
40,Erizo,Repollo,Carroza,Polo,Vaguada,Modem,Tataranieta
41,Oveja,Frambuesa,Segway,Dardos,Bruma,Deshumidificador,Esposo
42,Cabra,Batata,Jeep,Sumo,Calima,Sandwichera,Esposa
43,Cerdo,Nabo,Bote,Parkour,Sirimiri,Freidora,Novio
44,Gallo,Albaricoque,Hidroavión,Paintball,Relámpago,Afeitadora,Novia
45,Gallina,Papaya,Excavadora,CrossFit,Vendaval,Depiladora,Prometido
46,Ratón,Puerro,Hormigonera,Kickboxing,Tsunami,Congelador,Prometida
47,Koala,Champiñón,Kart,Críquet,Aluvión,Campana,Viudo
48,Alce,Guisante,Remolque,Bowling,Calima,Purificador,Viuda
49,Mapache,Lenteja,Portaaviones,Slalom,Chaparrón,Termo,Bebé
50,Hámster,Maíz,Kayak,Windsurf,Cencellada,Tostador,Pariente
